KPIs,Zip,No_of_Art_Projects, Perc_Unemployment_2010 ,No_Educated_High_School_2010,Per_Capita_Household_Income_2010, Perc_Unemployment_2014 ,No_Educated_High_School_2015,Per_Capita_Household_Income_2015,No_of_Artists_Projects, Perc_Unemployment_2011 , Perc_Unemployment_2012 , Perc_Unemployment_2013 , Perc_Unemployment_2015 , Perc_Unemployment_2016 ,No_Employment_in_Arts_n_Entertainment_2010,No_Employment_in_Arts_n_Entertainment_2011,No_Employment_in_Arts_n_Entertainment_2012,No_Employment_in_Arts_n_Entertainment_2013,No_Employment_in_Arts_n_Entertainment_2014,No_Employment_in_Arts_n_Entertainment_2015,No_Employment_in_Arts_n_Entertainment_2016,No_Educated_High_School_2000,No_Educated_High_School_2011,No_Educated_High_School_2012,No_Educated_High_School_2013,No_Educated_High_School_2014,No_Educated_High_School_2016,No_Unemployed_2010,No_Unemployed_2011,No_Unemployed_2012,No_Unemployed_2013,No_Unemployed_2014,No_Unemployed_2015,No_Unemployed_2016,Population_2010,Population_2011,Population_2012,Population_2013,Population_2014,Population_2015,Population_2016,Total_Household_Income_2000,Total_Household_Income_2010,Total_Household_Income_2011,Total_Household_Income_2012,Total_Household_Income_2013,Total_Household_Income_2014,Total_Household_Income_2015,Total_Household_Income_2016,Per_Capita_Household_Income_2000,Per_Capita_Household_Income_2011,Per_Capita_Household_Income_2012,Per_Capita_Household_Income_2013,Per_Capita_Household_Income_2014
,90248,0,0.08,1843,25352,0.14,1810,26592,,0.08,0.13,0.15,0.07,0.06,75,75,88,111,138,131,141,1669,1834,1468,1684,1733,1891,391,403,606,776,743,338,312,11397,10191,10338,11398,11689,11848,12014,205329774,257934907,262344682,279889511,293174967,299513950,312562109,324091142,19003,25743,27074,25864,25829
,90272,1,0.06,1738,73192,0.11,1009,98900,,0.06,0.1,0.11,0.07,0.06,516,519,282,415,343,329,348,1068,1705,1390,1197,959,1026,628,642,1017,1248,1240,694,624,22462,22880,21883,22964,22961,23240,23161,1789276304,1677850489,1673092126,2052314532,2248173505,2258921926,2296120686,2523673993,80089,73125,93786,98022,98498
,90291,3,0.08,2917,49188,0.11,2301,61289,8,0.09,0.1,0.11,0.07,0.06,1293,1286,1049,1255,1011,978,1015,2704,2887,2804,2300,2214,2390,1552,1586,2085,2060,2095,1241,1123,27525,27351,30341,28780,28043,28420,28606,1083811822,1345537480,1346195772,1688855399,1696626391,1661765472,1723203245,1815020906,34936,49219,55662,59588,59907
,90292,0,0.07,1686,70239,0.08,1797,82501,1,0.07,0.08,0.08,0.07,0.06,712,717,738,791,877,813,836,1442,1663,1625,1629,1715,1776,972,995,1251,1153,1282,1035,926,23503,21765,23336,22995,24047,24394,23884,1141567664,1524121089,1530567692,1815035307,1816308021,1938384046,2011037714,2098010488,64054,70322,77778,79047,80669
,90293,1,0.05,767,61115,0.09,834,71711,,0.06,0.06,0.06,0.07,0.06,286,289,162,240,220,202,214,785,757,686,792,807,838,460,474,512,560,775,588,526,12629,12591,11880,12732,12899,13006,12807,566460455,768148192,771515672,829379630,905801162,902143904,929562228,976244935,49803,61275,69813,71247,70053
,90402,0,0.03,636,76647,0.06,463,106143,,0.03,0.06,0.06,0.07,0.06,285,288,270,348,337,309,336,659,627,540,511,433,489,188,191,319,316,359,375,346,10973,11662,11309,11317,11196,11374,11619,1006862130,894552882,892079731,1223127428,1170445944,1185993428,1207216603,1354858179,87951,76495,108155,103434,105935
,90710,1,0.07,4124,25976,0.12,3620,29364,,0.07,0.1,0.11,0.07,0.06,279,280,213,261,234,221,241,3451,4076,3326,3459,3500,3716,967,991,1180,1403,1540,835,766,24535,24771,22282,24623,25129,25153,25275,474912925,645105080,646927170,578553147,668291454,713756664,727630824,768374372,19154,26116,25965,27428,28971
,90731,7,0.07,10597,24479,0.14,9450,30030,4,0.07,0.11,0.13,0.07,0.06,665,668,657,618,645,613,663,8324,10516,9563,9358,9269,9502,2127,2183,3276,3782,4113,1872,1683,59386,59419,60622,59298,60676,60155,59425,1055922916,1453963033,1453137411,1519530062,1623965033,1730504768,1771011905,1778581763,17601,24456,25066,28191,29352
,90732,0,0.04,3562,44256,0.1,2902,46503,1,0.05,0.08,0.09,0.07,0.06,233,233,189,202,208,185,197,3165,3519,2931,2828,2836,2955,476,488,884,940,1062,684,624,20466,21072,20363,20498,20934,20860,20933,624702682,932610047,935536207,908094786,926621133,926665110,960960661,997192198,30418,44397,44595,45573,44835
,90744,3,0.11,8997,14292,0.17,8984,17044,,0.11,0.16,0.17,0.07,0.06,395,398,347,445,320,309,334,5442,9007,8360,8187,8627,8897,2791,2875,4209,4492,4356,1601,1426,53273,52830,54382,53911,54377,54568,53710,572682432,752854178,750922416,807842210,860701898,893845009,921329485,883735984,10886,14214,14855,16196,16637
